settle,era,pressure,ret
2024-12-18,in,0.413480923731,21.02093412072792
2025-01-15,in,0.5303431617747001,-26.138665042700904
2025-02-19,in,0.4162072806176,-27.435277762607456
2025-03-19,in,0.2574985094491,-30.048096008726823
2025-04-16,in,0.1151066629448,-1.768684744505311
2025-05-21,in,0.0027600750495,11.738896424233758
2025-06-18,in,0.0018608748685,-21.42970527541199
2025-07-16,in,0.024162441982,-7.459847954577325
2025-08-20,in,0.5429221309168001,-34.06924874676087
2025-09-17,in,0.6690763818973999,-25.22529725755285
2025-10-15,in,0.9029068543589,10.232565694032749
2025-11-19,in,1.0918993464074,-20.50832747613307
2025-12-17,in,1.2191042282184998,-42.15072119905683
2026-01-21,in,2.5954417123835003,-39.72061372667368
2026-02-23,in,2.6164077228516,-5.939567546554558
2026-03-18,in,2.4035357729026003,-33.65785870273918
2026-04-15,in,2.1632650750157,-59.0413919692423
2026-05-20,in,7.3449297685129,-44.33452823690121
2026-06-17,in,11.779821428625098,-35.97245905112456
2026-07-15,in,6.832564124274,10.056440322017137
2026-08-19,in,2.8931519466977,-32.69600544970719
2021-02-17,oos,0.251610330484149,-2.811258233625935
2021-03-17,oos,0.318208140660321,-39.16113186874127
2021-04-21,oos,0.534161932818113,-8.815507415855794
2021-05-19,oos,0.2615883115174735,-26.34534203234007
2021-06-16,oos,0.4659231237451853,-44.15523517487085
2021-07-21,oos,1.00223577268765,-19.367370865037703
2021-08-18,oos,0.2607261721601863,-10.78268067699617
2021-09-15,oos,0.2132876472780787,16.75506740028032
2021-10-20,oos,0.1198834344087725,-7.781645258759795
2021-11-17,oos,0.3871901582421042,-10.972630416222762
2021-12-15,oos,0.3865482418599509,-8.771646502645503
2022-01-19,oos,0.3641065533211434,8.014060834407033
2022-02-16,oos,0.1172304099238258,-15.143994514704715
2022-03-16,oos,0.183667020484523,8.49561644014507
2022-04-20,oos,0.163808784594857,-4.6520130209504185
2022-05-18,oos,0.090740024412074,-4.357279729984009
2022-06-15,oos,0.1169715820780314,18.012160240079567
2022-07-20,oos,0.1004307478869779,-5.4225534953156185
2022-08-17,oos,0.0967027875004273,-17.566185837415425
2022-09-21,oos,0.1527768729227249,-6.977699770435164
2022-10-19,oos,0.2105194545934067,-15.334599582076391
2022-11-16,oos,0.0564057778205514,-13.228041245059163
2022-12-21,oos,0.0170221733162373,6.111407656208545
2023-01-30,oos,0.0626905392490369,6.734947036168837
2023-02-15,oos,0.1558802314099205,1.880031921646097
2023-03-15,oos,0.3084907078167755,-10.17313101904782
2023-04-19,oos,0.1976069730787958,-19.602237147219316
2023-05-17,oos,0.2761556974024515,24.9326090495261
2023-06-21,oos,1.1195117808145716,4.390734558812337
2023-07-19,oos,1.0910199798011957,-10.64033960417321
2023-08-16,oos,0.961069337229086,4.536080460175729
2023-09-20,oos,0.5376742375534898,-15.397211246480635
2023-10-18,oos,0.4462407129407298,-27.867851389264956
2023-11-15,oos,0.4183810176419311,-22.55398226253092
2023-12-20,oos,0.4389046878865716,-3.6427578059694543
2024-01-17,oos,0.3382830468430944,-6.170947458541409
2024-02-21,oos,0.7322688936163178,-18.161142852866075
2024-03-20,oos,1.0682759743079575,-31.8377572851658
2024-04-17,oos,1.0287285413959883,2.726381176787473
2024-05-15,oos,1.2352388455505974,-18.21618234865485
2024-06-19,oos,2.1133980339117486,5.503558305319789
2024-07-17,oos,2.245632231406825,-51.99868774617755
2024-08-21,oos,0.4263281010892863,-34.20329583964654
2024-09-18,oos,0.4305706348346378,-46.66204772547866
2024-10-16,oos,0.9044407060554776,-23.107772117749725
2024-11-20,oos,1.2292299796023576,-29.486471029476213
