sid,週期溢價,未平倉市值_百萬,買方OI張,賣方OI張,有資料天數,名稱,溢價排名,倉位排名,打擊名單,高溢價無倉,ADV20張,空方cover,多方cover,空方名單,多方名單
3380,0.0009818602098410666,32,146.0,972.0,3,明泰,181.0,147.0,False,False,3296.4979,0.2949,0.0443,False,False
2409,0.0007357760034839667,2083,12068.0,61804.0,3,友達,182.0,38.0,False,False,322192.22705,0.1918,0.0375,False,False
3714,0.0007249212321346001,137,92.0,1986.0,3,富采,183.0,101.5,False,False,15416.5687,0.1288,0.006,False,False
6282,0.0006107035344459717,116,970.0,2662.0,3,康舒,184.0,108.5,False,False,4457.412,0.5972,0.2176,False,False
9958,0.0005763070888766015,52,127.2,590.9,3,世紀鋼,185.0,130.0,False,False,1955.7546,0.3021,0.065,False,False
2385,0.0005590428344634898,66,196.0,624.0,3,群光,186.0,119.5,False,False,3034.54155,0.2056,0.0646,False,False
1536,0.0005559058414337525,40,252.0,856.0,3,和大,187.0,140.0,False,False,1087.7323000000001,0.787,0.2317,False,False
2481,0.0005519511403521,554,778.0,3280.0,3,強茂,188.0,63.0,False,False,41748.65105,0.0786,0.0186,False,False
6139,0.0004942756177493266,29,62.7,1340.8,3,亞翔,189.0,153.0,False,False,2295.70825,0.584,0.0273,False,False
8436,0.0004416399834523,10,6.0,96.0,2,大江,190.0,175.0,False,False,917.56495,0.1046,0.0065,False,False
2913,0.00041761619354550004,2,20.0,176.0,2,農林,191.0,192.5,False,False,1169.52495,0.1505,0.0171,False,False
3019,0.0003281303743879,571,2612.0,4182.0,3,亞光,192.0,62.0,False,False,6490.29615,0.6443,0.4024,False,False
2006,0.00030714822283340004,5,6.0,56.0,3,東和鋼鐵,193.0,186.0,False,False,1709.25595,0.0328,0.0035,False,False
5274,0.0002991558313652325,887,0.0,44.9,3,信驊,194.0,55.0,False,False,336.87575,0.1333,0.0,False,False
2059,0.0002973786017933193,-206,102.1,223.8,3,川湖,195.0,91.0,False,False,499.97909999999996,0.4476,0.2042,False,False
2485,0.00026524422876960844,26,462.0,624.0,3,兆赫,196.0,156.5,False,False,2772.41115,0.2251,0.1666,False,False
1717,0.0002634808061419,187,368.0,2592.0,3,長興,197.0,94.0,False,False,16441.33,0.1577,0.0224,False,False
2324,0.00012184378262106999,126,6084.0,3336.0,3,仁寶,198.0,103.5,False,False,59287.208399999996,0.0563,0.1026,False,False
2376,2.6923354355319494e-05,2026,2747.1,5490.6,3,技嘉,199.0,39.0,False,False,5304.7835,1.035,0.5179,False,False
1905,-1.8242812027699984e-05,0,4.0,496.0,2,華紙,,,False,False,1614.90605,0.3071,0.0025,False,False
2353,-9.251770739703333e-05,-115,3560.0,6234.0,3,宏碁,,,False,False,15671.37455,0.3978,0.2272,False,False
9914,-9.562544049186673e-05,-1,10.0,358.0,3,美利達,,,False,False,1768.0086000000001,0.2025,0.0057,False,False
2332,-9.992935400043332e-05,-5,242.0,1412.0,3,友訊,,,False,False,10169.81565,0.1388,0.0238,False,False
2340,-0.00010832091728536666,-38,1092.0,1338.0,3,台亞,,,False,False,3100.4191,0.4316,0.3522,False,False
4743,-0.00010963313233726677,0,0.0,256.0,3,合一,,,False,False,1081.4888,0.2367,0.0,False,False
2498,-0.00014311077214643336,-42,1038.0,2610.0,3,宏達電,,,False,False,4230.3991,0.617,0.2454,False,False
4123,-0.00018641472601623336,-2,58.0,278.0,3,晟德,,,False,False,1594.285,0.1744,0.0364,False,False
6472,-0.00021114099661157922,0,37.6,993.2,3,保瑞,,,False,False,905.53275,1.0968,0.0415,False,False
3376,-0.0004711398369467,-141,798.0,3758.0,3,新日興,,,False,False,6718.40365,0.5594,0.1188,False,False
8039,-0.0005040943980606666,-30,112.0,10096.0,3,台虹,,,False,False,30128.78515,0.3351,0.0037,False,False
2439,-0.0009906196093405666,-4,48.0,354.0,3,美律,,,False,False,1332.52625,0.2657,0.036,False,False
2328,-0.0010343232440896669,-53,1104.0,1546.0,3,廣宇,,,False,False,1784.264,0.8665,0.6187,False,False
6188,-0.0011125363604281,0,2.0,74.0,1,廣明,,,False,False,657.1225999999999,0.1126,0.003,False,False
3481,-0.001150048784791312,-1057,20800.0,39836.0,3,群創,,,False,False,183952.96265,0.2166,0.1131,False,False
5425,-0.0011927330665800998,-89,950.0,3294.0,3,台半,,,False,False,14797.5725,0.2226,0.0642,False,False
5269,-0.0012698026242408454,-142,192.1,472.8,3,祥碩,,,False,False,525.38415,0.8999,0.3656,False,False
2458,-0.001450504488753733,-7,54.0,170.0,3,義隆,,,False,False,1283.57635,0.1324,0.0421,False,False
9938,-0.0014565175528698665,-4,98.0,276.0,3,百和,,,False,False,1060.3048999999999,0.2603,0.0924,False,False
6757,-0.001467785512652,-2,36.0,36.0,1,台灣虎航,,,False,False,676.951,0.0532,0.0532,False,False
6290,-0.0015116665649001666,-105,372.0,2942.0,3,良維,,,False,False,4696.6364,0.6264,0.0792,False,False
2634,-0.0016214126197310666,-30,472.0,1558.0,3,漢翔,,,False,False,19965.2372,0.078,0.0236,False,False
2312,-0.0016587860740532668,-73,2338.0,3116.0,3,金寶,,,False,False,9172.5041,0.3397,0.2549,False,False
3260,-0.0018273337488933334,-71,182.0,132.0,3,威剛,,,False,False,6635.767849999999,0.0199,0.0274,False,False
3045,-0.0020023870546714666,-1014,8142.0,5434.0,3,台灣大,,,False,False,8035.7579000000005,0.6762,1.0132,False,True
5876,-0.0020732496556637335,0,6.0,42.0,3,上海商銀,,,False,False,8816.5894,0.0048,0.0007,False,False
8358,-0.002164672227515067,-1173,2380.0,9542.0,3,金居,,,False,False,18649.39675,0.5117,0.1276,False,False
3211,-0.002419135709261766,-61,159.9,1370.6,3,順達,,,False,False,5417.00505,0.253,0.0295,False,False
1503,-0.0024861998277032667,-28,142.0,564.0,3,士電,,,False,False,1694.9671,0.3327,0.0838,False,False
3706,-0.0025516831962365,-332,4160.0,5136.0,3,神達,,,False,False,9962.78475,0.5155,0.4176,False,False
2542,-0.002703720365051033,-33,720.0,1266.0,3,興富發,,,False,False,9115.163849999999,0.1389,0.079,False,False
9939,-0.0029079000576112,0,0.0,226.0,1,宏全,,,False,False,616.084,0.3668,0.0,False,False
1802,-0.0030370415847464664,-725,11958.0,17040.0,3,台玻,,,False,False,26647.624350000002,0.6395,0.4487,False,False
2367,-0.003363343112310667,-96,2300.0,2808.0,3,燿華,,,False,False,4408.79045,0.6369,0.5217,False,False
2388,-0.003626725353079933,-63,902.0,2414.0,3,威盛,,,False,False,4142.85775,0.5827,0.2177,False,False
1210,-0.003964664297806101,-1,28.0,28.0,2,大成,,,False,False,1149.25065,0.0244,0.0244,False,False
2338,-0.0045429629607328,-17,346.0,1484.0,3,光罩,,,False,False,15085.5765,0.0984,0.0229,False,False
