sid,週期溢價,未平倉市值_百萬,買方OI張,賣方OI張,有資料天數,名稱,溢價排名,倉位排名,打擊名單,高溢價無倉,ADV20張,空方cover,多方cover,空方名單,多方名單
1326,0.004557394317464433,271,352.0,3966.0,3,台化,67.0,83.0,False,False,38189.856,0.1038,0.0092,False,False
2882,0.004505694010349967,384,2606.0,3370.0,3,國泰金,68.0,72.0,False,False,24831.749050000002,0.1357,0.1049,False,False
3533,0.004490609355354263,182,16.0,275.4,3,嘉澤,69.0,95.0,False,False,1044.26,0.2637,0.0153,False,False
2105,0.004488095761310166,21,38.0,690.0,3,正新,70.0,160.0,False,False,4003.13835,0.1724,0.0095,False,False
2606,0.004484843270759199,116,282.0,1492.0,3,裕民,71.0,108.5,False,False,9292.546199999999,0.1606,0.0303,False,False
1301,0.004472594072206001,461,590.0,6990.0,3,台塑,72.0,67.0,False,False,32614.55095,0.2143,0.0181,False,False
4904,0.004455238763382201,13,176.0,122.0,3,遠傳,73.0,167.0,False,False,5342.49755,0.0228,0.0329,False,False
6505,0.004420237569092133,314,744.0,3524.0,3,台塑化,74.0,77.0,False,False,25326.4556,0.1391,0.0294,False,False
2885,0.004417073336719166,54,738.0,762.0,3,元大金,75.0,129.0,False,False,22259.85015,0.0342,0.0332,False,False
2395,0.004390854461792267,165,54.0,232.0,3,研華,76.0,99.0,False,False,3038.78475,0.0763,0.0178,False,False
1319,0.004372328288823867,55,46.0,682.0,3,東陽,77.0,127.5,False,False,1461.7175,0.4666,0.0315,False,False
