契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,0.0008320868372754148,53,228.5
CBF,2002,2000.0,0.0028789813124172675,53,18.7
CCF,2303,2000.0,0.002837853452257563,53,161.0
CDF,2330,2000.0,0.005794353631123853,53,2510.0
CEF,2881,2000.0,0.003319997168102711,51,153.5
CFF,1301,2000.0,0.0034199302804012763,53,63.7
CGF,2324,2000.0,0.0024778954872784467,53,36.85
CHF,2409,2000.0,0.0015067983630175604,53,34.95
CJF,2880,2000.0,0.005280132749825114,51,45.9
CKF,2882,2000.0,0.0023748007698949063,53,112.0
CLF,2886,2000.0,0.004335138189352008,52,50.1
CMF,2887,2000.0,0.002604739162702266,53,43.0
CNF,2891,2000.0,0.0006824377111577366,53,69.1
CQF,1216,2000.0,0.0036234533263889315,53,75.2
CRF,1402,2000.0,0.0051391095725815865,48,28.0
CSF,1605,2000.0,0.0031384495989760794,53,36.7
CUF,2323,2000.0,0.002674252964950599,26,10.85
CWF,2352,2000.0,0.004100845512058481,53,29.35
CXF,2371,2000.0,-0.0004158208912495099,53,28.8
CYF,2408,2000.0,0.003011820807347952,53,518.0
CZF,2603,2000.0,0.003882718297511906,53,243.0
DAF,2609,2000.0,0.004611440979831506,53,60.1
DBF,2610,2000.0,0.00604323255189716,53,20.5
DCF,2801,2000.0,0.0043615184720160165,53,27.9
DEF,2890,2000.0,0.0036116527140540463,53,44.9
DFF,1101,2000.0,0.004623280894667146,53,25.85
DGF,1326,2000.0,0.003995010542676954,53,65.9
DHF,2317,2000.0,0.004899662614606022,53,256.0
DIF,2337,2000.0,0.004250379860811966,53,120.0
DJF,2357,2000.0,0.0028044206707201823,52,961.0
DKF,2382,2000.0,0.004507394510122696,53,342.5
DLF,2412,2000.0,0.004104978577197068,53,145.5
DNF,2884,2000.0,0.003375956311689978,51,45.7
DOF,2885,2000.0,0.0049132900697235506,50,69.8
DPF,2892,2000.0,0.0016564408136559691,51,39.95
DQF,3481,2000.0,-0.002990056842400979,53,49.5
DSF,2353,2000.0,0.0005946223263016278,53,31.65
DVF,2454,2000.0,0.005422335913649226,53,5220.0
DWF,2915,2000.0,0.006165215811756824,47,60.5
DXF,3231,2000.0,0.005433351905589767,53,181.0
DYF,1102,2000.0,0.004451642321424044,53,36.0
DZF,1210,2000.0,,3,52.2
EEF,1312,2000.0,0.0020286085793466218,53,14.7
EGF,1314,2000.0,0.0026249216644377376,53,9.18
EHF,1319,2000.0,0.005265023642691594,49,79.2
EKF,1440,2000.0,0.011578059955124634,53,13.45
EMF,1504,2000.0,0.004388693825884767,53,68.7
EOF,1560,2000.0,-0.0026932563569975836,53,940.0
EPF,1590,2000.0,0.004041380848997831,36,1233.0
EYF,1718,2000.0,0.006382157966280917,53,10.6
EZF,1722,2000.0,0.005295804659218956,33,42.0
FBF,2006,2000.0,0.0022263407051538175,23,86.3
FEF,2027,2000.0,0.005013137132482624,52,46.8
FFF,2049,2000.0,0.004528518435821164,52,325.0
FGF,2059,2000.0,0.005610814295640042,52,12405.0
FKF,2105,2000.0,0.003913689067162586,42,30.25
FNF,2201,2000.0,0.004416469585660485,51,29.4
FQF,2301,2000.0,0.003059442153007015,53,284.0
FRF,2308,2000.0,0.0029208765963820546,53,1915.0
FSF,2312,2000.0,-0.0034587343949887576,53,30.65
FTF,2313,2000.0,0.0012672525786157577,53,225.0
FVF,2331,2000.0,-0.006743475808089678,43,18.95
FWF,2332,2000.0,0.0022721591472064755,53,20.5
FYF,2340,2000.0,-0.0013188416148945151,53,34.45
FZF,2344,2000.0,0.002052005676370765,53,173.0
GAF,2347,2000.0,0.002083992756354215,48,95.1
GCF,2354,2000.0,0.004639862868168886,52,66.4
