契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,0.00016244655853618224,53,233.5
CBF,2002,2000.0,-0.0009008572215427445,53,18.8
CCF,2303,2000.0,0.0015813552786130846,53,142.0
CDF,2330,2000.0,-8.495049945468913e-05,53,2382.0
CEF,2881,2000.0,-0.0007578832676220965,53,155.0
CFF,1301,2000.0,-0.0006089859798228696,53,62.7
CGF,2324,2000.0,0.002234288051829605,53,37.75
CHF,2409,2000.0,-0.0008689261582940911,53,28.4
CJF,2880,2000.0,0.0024852133898693946,53,46.4
CKF,2882,2000.0,0.000513212090385772,53,112.5
CLF,2886,2000.0,0.00036202670517689024,53,52.4
CMF,2887,2000.0,0.001837082261678744,53,43.45
CNF,2891,2000.0,0.002410447105121536,53,67.9
CQF,1216,2000.0,-0.00035300520728260887,53,74.5
CRF,1402,2000.0,-0.0009568421962290314,52,27.9
CSF,1605,2000.0,0.00048385559076376863,53,36.95
CUF,2323,2000.0,0.0038012882535489886,51,10.65
CWF,2352,2000.0,-0.0008616331412626431,53,28.4
CXF,2371,2000.0,-0.0025680921624236927,53,27.45
CYF,2408,2000.0,-0.002181764401560262,53,470.0
CZF,2603,2000.0,-0.0013623423263190585,53,236.0
DAF,2609,2000.0,0.0009545311409029283,53,59.5
DBF,2610,2000.0,-0.001495879725151182,53,20.2
DCF,2801,2000.0,0.0001265527930992675,53,28.55
DEF,2890,2000.0,-0.0014227713544953846,53,44.85
DFF,1101,2000.0,-0.0024323728238630233,53,23.95
DGF,1326,2000.0,-0.0003395686287480492,53,67.7
DHF,2317,2000.0,0.00041689042629794134,53,248.5
DIF,2337,2000.0,-0.00048553819621744923,53,116.0
DJF,2357,2000.0,0.0006111377833447492,53,922.0
DKF,2382,2000.0,0.0005952292855806326,53,331.5
DLF,2412,2000.0,0.000203807889142567,53,142.5
DNF,2884,2000.0,-0.0003269442362780368,53,46.15
DOF,2885,2000.0,0.00013322033343234142,53,70.5
DPF,2892,2000.0,0.0019239618283614427,53,39.8
DQF,3481,2000.0,-0.00190266017060537,53,46.95
DSF,2353,2000.0,-0.002914845464841015,53,31.25
DVF,2454,2000.0,0.0015031518748479563,53,4575.0
DWF,2915,2000.0,0.0008876189282962435,52,56.7
DXF,3231,2000.0,0.0008312282262012803,53,181.0
DYF,1102,2000.0,0.00010804741403763018,53,35.05
EEF,1312,2000.0,0.0009751987132337466,53,14.4
EGF,1314,2000.0,0.003327633711004659,53,8.26
EHF,1319,2000.0,-0.0030813238774012506,53,78.4
EKF,1440,2000.0,-0.0014151551732822557,53,13.25
EMF,1504,2000.0,-0.00035388969268386656,53,69.9
EOF,1560,2000.0,0.0014438210211857139,53,758.0
EPF,1590,2000.0,-0.016747833973454973,53,1243.0
EYF,1718,2000.0,-0.001575012536048342,52,10.35
EZF,1722,2000.0,-0.001221720388028732,52,42.4
FBF,2006,2000.0,0.000440861392983849,25,82.0
FEF,2027,2000.0,0.00035023356951940395,53,45.7
FFF,2049,2000.0,-0.0023503567357679223,53,328.0
FGF,2059,2000.0,0.0005636265387943189,53,11820.0
FKF,2105,2000.0,-6.221891571234625e-05,53,30.15
FNF,2201,2000.0,-0.003691382814450686,53,30.15
FQF,2301,2000.0,0.0006792416958978825,53,274.5
FRF,2308,2000.0,0.003903194708508472,53,1624.0
FSF,2312,2000.0,0.0004192929248284579,53,30.9
FTF,2313,2000.0,-0.0013402365263533497,53,221.0
