契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,0.0031291236447223625,53,242.0
CBF,2002,2000.0,0.0029295590451172775,53,18.7
CCF,2303,2000.0,0.0055580834571461015,53,158.5
CDF,2330,2000.0,0.005571538121608411,53,2496.0
CEF,2881,2000.0,0.005513765840492922,53,156.0
CFF,1301,2000.0,0.005599648643523055,53,65.9
CGF,2324,2000.0,0.0002489579713727468,53,37.7
CHF,2409,2000.0,0.008208508996242312,53,33.7
CJF,2880,2000.0,0.004661754417926566,53,47.0
CKF,2882,2000.0,0.006234961716473357,53,114.0
CLF,2886,2000.0,0.004012264787662443,53,51.0
CMF,2887,2000.0,0.005580460165697509,53,44.25
CNF,2891,2000.0,0.0027645917031074935,53,70.5
CQF,1216,2000.0,0.0052428287045208485,53,75.1
CRF,1402,2000.0,0.0012682986238018684,51,27.9
CSF,1605,2000.0,0.004404329314013089,53,37.45
CUF,2323,2000.0,0.0035390957527741446,42,10.9
CWF,2352,2000.0,0.004812893743266944,53,29.85
CXF,2371,2000.0,0.003988350012825027,53,30.15
CYF,2408,2000.0,0.002624432475193866,53,521.0
CZF,2603,2000.0,0.0051625784827195815,53,243.5
DAF,2609,2000.0,0.004863912803697084,53,61.5
DBF,2610,2000.0,0.005128337771564379,53,20.5
DCF,2801,2000.0,0.002880901549634829,53,28.65
DEF,2890,2000.0,0.0028724719965860864,53,45.95
DFF,1101,2000.0,0.0050407218525090084,53,24.4
DGF,1326,2000.0,0.00551658066368502,53,68.4
DHF,2317,2000.0,0.003658878166474253,53,251.0
DIF,2337,2000.0,0.007306207767369819,53,120.5
DJF,2357,2000.0,0.0035357773555904125,53,947.0
DKF,2382,2000.0,0.005635270447784153,53,346.0
DLF,2412,2000.0,0.0040623314859992345,53,144.5
DNF,2884,2000.0,0.005216051445157734,53,46.45
DOF,2885,2000.0,0.004273190163019458,53,70.7
DPF,2892,2000.0,0.00420639243261494,53,39.9
DQF,3481,2000.0,0.0003394432063543268,53,50.8
DSF,2353,2000.0,0.00020545784472167215,53,32.2
DVF,2454,2000.0,0.005363488350843188,53,5065.0
DWF,2915,2000.0,0.0018239854028467503,53,59.5
DXF,3231,2000.0,0.005634918058485732,53,188.0
DYF,1102,2000.0,0.0031524773174497808,53,35.3
EEF,1312,2000.0,0.002003773785583191,53,14.6
EGF,1314,2000.0,0.005020975591664443,53,9.29
EHF,1319,2000.0,0.005718789585010323,30,80.9
EMF,1504,2000.0,0.005212823496493398,53,69.3
EOF,1560,2000.0,0.003602567816977978,53,914.0
EPF,1590,2000.0,0.005660207761809226,53,1260.0
EYF,1718,2000.0,0.00429489295134451,51,10.8
EZF,1722,2000.0,0.002832584071758772,49,42.25
FBF,2006,2000.0,-0.002107722327074105,52,85.6
FEF,2027,2000.0,0.00460742431699168,53,46.95
FFF,2049,2000.0,0.005930072267786053,50,336.5
FGF,2059,2000.0,-0.0021722281921435858,52,12835.0
FKF,2105,2000.0,0.00429437726139225,49,30.25
FNF,2201,2000.0,0.0037397965234837404,53,29.4
FQF,2301,2000.0,0.0054002136415840845,53,291.0
