契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,0.0017486786447404616,53,239.0
CBF,2002,2000.0,0.001232255559078671,53,19.2
CCF,2303,2000.0,0.001736014250412357,53,142.0
CDF,2330,2000.0,0.001213137704299486,53,2471.0
CEF,2881,2000.0,-0.0007026718674144659,53,146.5
CFF,1301,2000.0,0.002865724323361068,53,66.8
CGF,2324,2000.0,0.0004322568486545825,53,39.0
CHF,2409,2000.0,-1.6335680545126988e-05,53,30.7
CJF,2880,2000.0,-2.0187591814383264e-05,53,44.2
CKF,2882,2000.0,0.0012030252014744295,53,110.5
CLF,2886,2000.0,0.0004807796416250361,48,50.3
CMF,2887,2000.0,-0.00045097632531986557,53,42.3
CNF,2891,2000.0,0.00048228998871254316,53,66.5
CQF,1216,2000.0,0.0006955311355669735,53,76.0
CRF,1402,2000.0,0.00449494126850318,53,28.75
CSF,1605,2000.0,0.0018225537514838482,53,38.4
CWF,2352,2000.0,0.0035705565441214067,53,28.8
CXF,2371,2000.0,0.00027093000934691366,53,28.05
CYF,2408,2000.0,0.001544998720704192,53,525.0
CZF,2603,2000.0,0.0014616535726497167,53,234.0
DAF,2609,2000.0,0.0019436543656582554,53,58.7
DBF,2610,2000.0,0.002168195071658705,53,20.55
DCF,2801,2000.0,-0.0018062436982847528,52,26.95
DEF,2890,2000.0,0.0019224740795289292,52,43.2
DFF,1101,2000.0,0.0024050539485805495,53,24.95
DGF,1326,2000.0,0.0023300474344968587,53,72.4
DHF,2317,2000.0,0.0011590494709632778,53,252.5
DIF,2337,2000.0,-0.00014475515062927903,53,126.0
DJF,2357,2000.0,0.0009627385460731906,53,982.0
DKF,2382,2000.0,0.001053286785118854,53,343.0
DLF,2412,2000.0,-0.0016933359429951696,53,139.5
DNF,2884,2000.0,0.0007467876145835354,53,44.2
DOF,2885,2000.0,0.0015483258016315267,53,69.5
DPF,2892,2000.0,0.0006424230359580516,52,37.75
