契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,0.0027779211864789126,53,235.5
CBF,2002,2000.0,0.003425506217452697,53,19.15
CCF,2303,2000.0,0.0043988713111262874,53,134.0
CDF,2330,2000.0,0.0012225496478786243,53,2443.0
CEF,2881,2000.0,0.0005294108409119088,53,145.5
CFF,1301,2000.0,0.0047428453028456165,53,68.4
CGF,2324,2000.0,0.0021764149503891036,53,40.15
CHF,2409,2000.0,-0.006150242623094401,53,26.35
CJF,2880,2000.0,0.0004513424784594076,53,41.85
CKF,2882,2000.0,0.0013761500438723476,53,111.5
CLF,2886,2000.0,0.0028152992658848778,53,48.5
CMF,2887,2000.0,0.0015574047934989585,53,40.0
CNF,2891,2000.0,0.0006628550132653929,53,66.6
CQF,1216,2000.0,0.004381959158077417,53,76.2
CRF,1402,2000.0,0.0028552812355382407,53,29.5
CSF,1605,2000.0,0.0038883668407660036,53,38.95
CUF,2323,2000.0,0.0010520602848899062,48,10.95
CWF,2352,2000.0,0.0003432517830918894,46,28.5
CXF,2371,2000.0,0.0005901557964611203,53,28.7
CYF,2408,2000.0,-0.0008657334424459871,53,521.0
CZF,2603,2000.0,0.00390807714811413,53,238.0
DAF,2609,2000.0,0.0016165354871519925,53,57.9
DBF,2610,2000.0,0.0033473043056902055,53,20.3
DCF,2801,2000.0,0.004179740171748311,53,25.1
DEF,2890,2000.0,0.0003041054237464939,53,41.45
DFF,1101,2000.0,0.0031493751943536268,53,25.4
DGF,1326,2000.0,0.003357400270482082,53,74.5
DHF,2317,2000.0,0.003745109861700165,53,256.5
DIF,2337,2000.0,0.0016883172521504157,53,123.0
DJF,2357,2000.0,0.0032231073766629584,53,1015.0
DKF,2382,2000.0,0.0021222139729342444,53,342.0
DLF,2412,2000.0,0.0020881881959773823,53,136.0
DNF,2884,2000.0,0.0028497406645027097,53,39.9
DOF,2885,2000.0,8.524213186917706e-05,53,66.6
DPF,2892,2000.0,0.001968345912027482,53,35.8
DQF,3481,2000.0,-0.004779170042403993,53,49.1
DSF,2353,2000.0,0.0016471683330906953,53,31.7
DVF,2454,2000.0,0.0011587485515642815,53,4320.0
DWF,2915,2000.0,0.0009000066421784103,53,56.8
DXF,3231,2000.0,0.0034036120606713623,53,182.5
DYF,1102,2000.0,0.0007008155495152963,53,35.15
DZF,1210,2000.0,0.006268326091834855,38,52.0
EEF,1312,2000.0,-0.001464833261274376,53,15.85
EGF,1314,2000.0,0.0023172832322859277,53,8.26
EHF,1319,2000.0,0.0016281465609882888,51,83.1
EKF,1440,2000.0,0.0035729090012353616,51,13.85
EMF,1504,2000.0,0.002705732387065861,53,73.5
EOF,1560,2000.0,-0.012907414647942608,49,745.0
EPF,1590,2000.0,0.0005744312006197991,43,1445.0
EYF,1718,2000.0,-0.0003285533551578327,53,11.15
EZF,1722,2000.0,0.004631728984800821,49,44.75
FBF,2006,2000.0,-0.004229092133998007,52,81.2
FEF,2027,2000.0,0.0027756536567246828,52,50.2
FFF,2049,2000.0,0.0037810184058723008,52,361.0
