契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,-0.0007578272770685738,53,206.5
CBF,2002,2000.0,0.002401271153635695,53,19.45
CCF,2303,2000.0,0.0013054462772710232,53,124.5
CDF,2330,2000.0,0.0012474346697261458,53,2424.0
CEF,2881,2000.0,-0.0010813064084217742,53,138.5
CFF,1301,2000.0,0.0031022403140504987,53,60.5
CGF,2324,2000.0,0.0003877831737772023,53,41.1
CHF,2409,2000.0,-0.008599038738880948,53,25.5
CJF,2880,2000.0,0.001786803007429639,53,39.75
CKF,2882,2000.0,-8.05955611257516e-05,53,103.0
CLF,2886,2000.0,0.003158438113770244,53,46.6
CMF,2887,2000.0,0.001083706067133194,53,37.5
CNF,2891,2000.0,2.4042420326998375e-06,53,64.8
CQF,1216,2000.0,0.0012221157783483172,53,77.5
CRF,1402,2000.0,0.0004992016434160568,53,28.75
CSF,1605,2000.0,0.0017957787199101665,53,39.7
CUF,2323,2000.0,0.0040938272858925305,52,10.9
CWF,2352,2000.0,0.00027072132833426334,53,28.05
CXF,2371,2000.0,-0.00010509258789789234,53,27.7
CYF,2408,2000.0,0.0016074316049648118,53,520.0
CZF,2603,2000.0,0.0015457997440915879,53,231.5
DAF,2609,2000.0,0.0009399290649210253,53,57.9
DBF,2610,2000.0,0.004395582166697455,53,20.9
DCF,2801,2000.0,0.0013436415466356478,53,24.0
DEF,2890,2000.0,0.002768102664374952,53,39.15
DFF,1101,2000.0,0.002018016182061632,53,24.45
DGF,1326,2000.0,0.0021492188458450837,53,60.8
DHF,2317,2000.0,0.0017239963253036794,53,247.5
DIF,2337,2000.0,0.0028257782687478856,53,126.0
DJF,2357,2000.0,-0.0005947811579957205,53,967.0
DKF,2382,2000.0,0.00019610569745883062,53,334.0
DLF,2412,2000.0,0.0011848728319459715,53,136.0
DNF,2884,2000.0,0.0005608949983240319,53,38.7
DOF,2885,2000.0,0.0016505436951651479,53,62.9
DPF,2892,2000.0,0.00330632925454157,53,33.45
DQF,3481,2000.0,-0.0023196791548595642,53,46.55
DSF,2353,2000.0,0.0014768557998650214,53,31.4
DVF,2454,2000.0,0.000994064629471521,53,3970.0
DWF,2915,2000.0,0.0025463068077472783,50,59.3
DXF,3231,2000.0,0.0028766355433028573,53,182.0
DYF,1102,2000.0,0.0012627546142515722,53,35.25
EEF,1312,2000.0,-0.0038461538461539435,53,12.95
EGF,1314,2000.0,0.003393937982988687,53,8.03
EHF,1319,2000.0,0.0005958485487752469,53,82.4
EMF,1504,2000.0,-0.0002644433205401227,53,71.5
EOF,1560,2000.0,,3,681.0
EPF,1590,2000.0,-0.00010875602710761092,53,1469.0
EYF,1718,2000.0,0.0019352355827788666,53,10.65
EZF,1722,2000.0,-0.00039530423018352737,34,44.55
FBF,2006,2000.0,-0.003235212805936076,49,82.1
FEF,2027,2000.0,0.0013606139957751248,53,50.2
FFF,2049,2000.0,0.0006036491754707948,52,352.5
FGF,2059,2000.0,0.006070385771191462,52,14515.0
FKF,2105,2000.0,0.0006069131828414761,53,31.65
FNF,2201,2000.0,0.0009595989672644151,49,28.85
FQF,2301,2000.0,0.0031808239057058954,53,308.5
FRF,2308,2000.0,0.003511022189153435,53,1760.0
FSF,2312,2000.0,-0.0010676680391920323,52,31.95
FTF,2313,2000.0,0.0014096076176561393,53,224.0
