契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,0.005055471738589087,53,239.5
CBF,2002,2000.0,0.00599261934519825,47,18.7
CCF,2303,2000.0,0.004053038397040395,53,154.5
CDF,2330,2000.0,0.006580233126599029,53,2496.0
CEF,2881,2000.0,0.00713791205260649,51,151.0
CFF,1301,2000.0,0.005929891021285818,53,64.3
CGF,2324,2000.0,0.0021400108846607612,53,36.4
CHF,2409,2000.0,0.002769502959150377,53,34.4
CJF,2880,2000.0,0.0056809008045488095,52,45.6
CKF,2882,2000.0,0.0060694372570066,53,111.0
CLF,2886,2000.0,0.005264629879696831,53,49.65
CMF,2887,2000.0,0.004954105224710221,53,42.55
CNF,2891,2000.0,0.003708561083762871,53,68.8
CQF,1216,2000.0,0.004705000680187587,47,74.6
CRF,1402,2000.0,0.00397883988731878,43,28.25
CSF,1605,2000.0,0.004596886640389187,53,36.8
CUF,2323,2000.0,-0.0007984024394376843,52,10.9
CWF,2352,2000.0,0.0006676993714225179,44,29.0
CXF,2371,2000.0,0.0010169544732039034,53,28.95
CYF,2408,2000.0,0.0008152522498597294,53,505.0
CZF,2603,2000.0,0.004337727945407459,53,243.0
DAF,2609,2000.0,0.0048071688912363145,53,60.0
DBF,2610,2000.0,0.003937567070063485,53,20.35
DCF,2801,2000.0,0.00725296065884723,47,27.85
DEF,2890,2000.0,0.004342246425170173,52,45.35
DFF,1101,2000.0,0.0011221270479320137,53,25.15
DGF,1326,2000.0,0.00584941508156642,53,67.5
DHF,2317,2000.0,0.0030867432973282175,53,252.0
DIF,2337,2000.0,0.002200428052629701,53,117.0
DJF,2357,2000.0,0.0031852514119895367,53,950.0
DKF,2382,2000.0,0.005145564391568203,53,340.5
DLF,2412,2000.0,0.0042133929930793,53,145.5
DNF,2884,2000.0,0.0040547857610074055,52,45.5
DOF,2885,2000.0,0.0043401711152337,53,69.5
DPF,2892,2000.0,0.0036155232054219766,51,39.75
DQF,3481,2000.0,-0.004009067879385792,53,49.4
DSF,2353,2000.0,0.0006265212807771734,53,31.65
DVF,2454,2000.0,0.0069281047969562025,53,5320.0
DWF,2915,2000.0,0.004526076049354722,53,60.6
DXF,3231,2000.0,0.00649080346420287,53,184.5
DYF,1102,2000.0,0.004129320102537051,53,35.75
EEF,1312,2000.0,-0.0002649890939486943,53,14.65
EGF,1314,2000.0,0.0007469457823723156,53,8.88
EHF,1319,2000.0,0.0047206282513410705,53,78.6
EKF,1440,2000.0,0.0012497387174200468,42,13.6
EMF,1504,2000.0,0.0040178394687757505,51,68.7
EOF,1560,2000.0,-0.009358848853936778,46,946.0
EPF,1590,2000.0,,5,1218.0
EYF,1718,2000.0,0.003416353472594848,53,10.55
EZF,1722,2000.0,0.002274678057941052,42,41.45
FBF,2006,2000.0,-0.004822588938834121,32,88.0
FEF,2027,2000.0,0.005884895516672071,50,48.0
FFF,2049,2000.0,0.00594007361346184,51,326.5
FGF,2059,2000.0,0.009412808197364925,53,12575.0
FKF,2105,2000.0,0.0065295961021154866,51,30.5
FNF,2201,2000.0,0.005086358185086207,40,29.45
FQF,2301,2000.0,0.0026218349127806718,53,288.5
FRF,2308,2000.0,0.004721691098059334,53,1929.0
FSF,2312,2000.0,0.0013056622833910725,49,30.75
FTF,2313,2000.0,0.002769311188767095,53,223.0
FVF,2331,2000.0,,0,18.9
FWF,2332,2000.0,-0.001234841479054618,53,20.05
FYF,2340,2000.0,-0.0007147736156903203,53,34.65
FZF,2344,2000.0,0.0003909742287277568,53,172.5
GAF,2347,2000.0,0.0037277434596473613,53,94.8
GCF,2354,2000.0,0.0048036042825762,53,65.8
GHF,2376,2000.0,-0.00763298517446672,53,358.0
GIF,2377,2000.0,-1.660466317206835e-06,53,151.0
GJF,2379,2000.0,0.001922771886472867,53,755.0
GKF,2385,2000.0,-0.001994578886026263,24,104.0
GLF,2392,2000.0,0.0005931395464414156,53,42.2
GMF,2393,2000.0,0.005902592418939941,48,63.6
GNF,2401,2000.0,0.005348306997256646,22,25.65
GOF,2404,2000.0,0.0041375917562719005,53,1281.0
GRF,2449,2000.0,0.0027330448062721307,53,313.5
GUF,2455,2000.0,0.00903512466594416,53,559.0
GWF,2458,2000.0,-0.0017218475770983093,19,137.0
GXF,2474,2000.0,0.0013267525130502178,53,207.0
GYF,2481,2000.0,-0.002281547759022256,53,175.5
GZF,2485,2000.0,0.002127556982602246,53,39.0
HAF,2489,2000.0,-0.005705301999112984,53,40.65
HBF,2492,2000.0,0.006163468803579812,53,315.0
HCF,2498,2000.0,-0.005594703308444132,53,41.4
HHF,2515,2000.0,0.007356175279774823,53,12.0
HIF,2520,2000.0,0.0064991148398584,37,37.6
HLF,2542,2000.0,-0.0018717474785727843,53,39.2
HOF,2548,2000.0,-0.0003329932941829286,45,92.8
HQF,2605,2000.0,0.0045849621658599765,53,36.85
HSF,2618,2000.0,0.0028878993726771376,53,42.1
IAF,2834,2000.0,0.004237313291011812,53,17.9
IHF,2913,2000.0,0.005470999588646621,34,11.1
IIF,3006,2000.0,0.0050742761331803105,53,277.5
IJF,3008,2000.0,0.006525642906628968,50,6300.0
IMF,3019,2000.0,0.0007762328271548062,53,136.5
IOF,3034,2000.0,0.004436688563253425,53,547.0
IPF,3035,2000.0,0.004620926133334116,53,208.5
IQF,3036,2000.0,0.006347863633996466,53,208.5
IRF,3037,2000.0,0.00518198938538128,53,1185.0
ITF,3042,2000.0,0.003915907911761242,53,206.0
IXF,3189,2000.0,0.005685033850875625,53,970.0
IYF,3376,2000.0,-0.00032447666122984743,52,173.0
IZF,3380,2000.0,-0.0016825130532197,53,31.55
JBF,3443,2000.0,0.007024596457658439,53,8600.0
JFF,3533,2000.0,0.004121238787359789,53,1696.0
JMF,3653,2000.0,0.0027309451842670316,53,6925.0
JNF,3673,2000.0,0.0034280266488794526,53,65.7
JPF,3702,2000.0,0.0054543651327368416,53,118.0
JSF,4938,2000.0,0.004248137471808427,40,91.9
JXF,6005,2000.0,0.005986424747106944,43,32.25
JZF,6153,2000.0,0.0052074859405287005,49,17.4
KBF,6213,2000.0,0.008403361344537785,53,600.0
KCF,6239,2000.0,0.0037278643741573674,53,289.5
KDF,6271,2000.0,0.00544677781417174,53,231.0
KEF,6278,2000.0,0.005363654648370672,53,214.0
KFF,6282,2000.0,0.0009295410226882069,53,42.7
KGF,6285,2000.0,0.00681548927686781,53,239.5
KIF,8039,2000.0,-0.0018678707120850428,53,260.5
KLF,9904,2000.0,0.0033390724672018282,53,25.0
KPF,9945,2000.0,0.003316009988397824,53,30.05
KUF,1802,2000.0,-0.0014746154513229119,53,58.3
KWF,2328,2000.0,-0.001298180919077796,50,46.85
LBF,3044,2000.0,0.006215209154353484,53,540.0
LCF,3045,2000.0,0.001082904085680207,53,121.5
LEF,3406,2000.0,0.005696829819806566,53,906.0
LIF,6269,2000.0,0.005200262962603605,51,65.0
LMF,9914,2000.0,,6,67.4
LOF,5880,2000.0,0.0012328529084739402,46,26.55
LQF,2356,2000.0,0.0019830283308766394,53,60.0
LRF,2883,2000.0,0.003733639696010457,53,39.25
LTF,4904,2000.0,0.003645643456069949,13,106.0
LUF,4958,2000.0,0.0014305799379673012,53,479.5
LVF,5871,2000.0,0.0072855709518985885,53,108.0
LWF,1476,2000.0,0.003748020587199003,53,278.5
LXF,2327,2000.0,0.006399274117038303,53,586.0
LYF,8046,2000.0,0.004160409352148338,53,1248.0
MBF,2355,2000.0,0.0036155113849608567,53,42.0
MJF,2360,2000.0,0.008425729296583967,53,2321.0
MKF,2439,2000.0,0.0037142010874751503,31,77.4
MQF,6257,2000.0,0.0025478593772924616,53,244.0
MVF,9938,2000.0,0.004017066232934952,33,38.25
NAF,3105,2000.0,0.004439694712689612,53,503.0
NBF,3152,2000.0,0.008676364726111881,37,229.5
NCF,3211,2000.0,-0.006482267989320594,51,375.0
NDF,3260,2000.0,-0.004569254641947846,53,378.0
NEF,3264,2000.0,0.008052289268953195,53,248.0
NGF,3691,2000.0,0.005787752462026448,53,120.0
NIF,4123,2000.0,-0.00013890701618805306,49,30.85
NJF,5009,2000.0,0.0003709530806331305,51,32.35
NLF,5347,2000.0,0.0031183756421089576,53,171.5
NOF,5483,2000.0,0.0014206635560264022,53,188.5
NSF,6147,2000.0,0.005249663318831095,53,216.0
NVF,8069,2000.0,0.004121077008933384,53,147.0
NWF,8299,2000.0,-0.0002813469626795377,53,2135.0
ODF,2231,2000.0,-0.00895445135862558,41,89.6
OEF,6116,2000.0,-0.008610047829398467,53,14.8
OHF,6279,2000.0,0.005968153669947454,33,112.5
OLF,3008,100.0,0.006417504966984948,53,6330.0
OPF,2345,2000.0,0.005400457076445133,53,1894.0
OQF,6414,2000.0,,8,379.0
ORF,1536,2000.0,-0.0032292740490487614,42,46.7
OSF,1909,2000.0,,4,10.2
OTF,3081,2000.0,0.008270339960052536,53,2725.0
OUF,3552,2000.0,0.007054372094247722,53,45.75
OVF,6274,2000.0,0.00751021187506234,53,1513.0
OWF,6488,2000.0,-0.007444826757824855,53,938.0
OXF,6510,2000.0,0.009723036674411462,52,3350.0
OYF,6510,100.0,0.007594207104881239,53,3345.0
OZF,3711,2000.0,0.004703720215067465,53,698.0
PAF,3227,2000.0,0.004255479486203545,48,184.0
PBF,6488,100.0,-0.006502385102205296,53,940.0
PDF,4736,2000.0,0.014232990977176991,29,131.5
PEF,5425,2000.0,-0.000973279816225542,53,94.7
PHF,5269,2000.0,-0.0013913996266952798,42,1511.0
PIF,3529,2000.0,0.006156102510049086,50,3270.0
PJF,2383,2000.0,0.0070292252392797055,53,5120.0
PKF,6173,2000.0,-0.06442688397796485,53,286.5
PLF,6182,2000.0,0.0005656529362563893,53,121.5
PNF,5269,100.0,0.0005400631477870355,50,1479.0
PPF,5457,2000.0,0.0031733358474704135,47,23.9
PQF,8358,2000.0,0.004955895886878373,53,520.0
PRF,8086,2000.0,0.0006028546775083572,53,112.0
PSF,3706,2000.0,-0.001057113745426744,53,78.7
PTF,3324,2000.0,0.003829025415495313,53,1719.0
PUF,2454,100.0,0.007055365645163363,53,5320.0
PVF,6669,2000.0,-0.0050154053422991575,53,2098.0
PWF,6669,100.0,-0.0044409545160835435,53,2100.0
PXF,3293,2000.0,0.013522794235038162,52,762.0
PYF,3293,100.0,0.0031914254653875192,53,764.0
QAF,5274,100.0,0.0022777537214357913,53,20025.0
QBF,3714,2000.0,0.0001969323687697137,53,67.7
QCF,2606,2000.0,0.0018766889893286269,53,77.2
QDF,3532,2000.0,-0.00253175924844072,53,454.0
QEF,2327,100.0,0.006693640391698472,53,586.0
QFF,2330,100.0,0.00662588194774167,53,2497.0
QGF,2379,100.0,0.0029986940128350096,53,751.0
QHF,3034,100.0,0.005110010503561222,53,543.0
QIF,3105,100.0,0.003905951984690727,53,506.0
QJF,3406,100.0,0.005017014434533788,53,902.0
QKF,1907,2000.0,0.011369068681080848,53,28.5
QLF,3374,2000.0,0.003960823758107007,53,448.0
QMF,2049,100.0,0.004984293142391534,53,328.0
QNF,8299,100.0,-1.425482943595359e-05,53,2137.0
QOF,1717,2000.0,0.0009815831308886487,53,72.0
QPF,1904,2000.0,0.011499009222869542,18,25.15
QQF,3078,2000.0,-0.003631526065945607,37,45.2
QRF,2357,100.0,0.002929805381672966,53,950.0
QSF,8046,100.0,0.004376927104409688,53,1248.0
QTF,2441,2000.0,0.002215317305558332,53,124.5
QUF,8150,2000.0,0.0018855095991254034,53,113.0
QVF,2338,2000.0,-0.005767397264082419,53,47.0
QWF,2388,2000.0,-0.0033564852671358796,53,69.7
QXF,2615,2000.0,0.003702470213789245,53,116.0
QYF,6547,2000.0,0.007233172003308381,52,60.1
QZF,6770,2000.0,0.004013081168693429,53,72.6
RAF,3017,2000.0,0.005754410542313463,53,3580.0
RBF,5388,2000.0,0.007401739702821359,53,74.2
RCF,2634,2000.0,-0.0006457637407650135,52,63.1
RDF,4128,2000.0,0.006881211116329938,36,14.85
REF,4919,2000.0,0.000834770642249848,53,137.5
RFF,3533,100.0,0.004623705364657854,53,1715.0
RGF,3653,100.0,0.0032620053992054115,53,6935.0
RJF,1609,2000.0,0.006167058393884018,53,38.1
RKF,2368,2000.0,0.006040689050301529,53,1112.0
RNF,4743,2000.0,-0.0009065405661703587,53,44.5
RPF,5904,2000.0,0.004206352867124123,52,69.8
RRF,5904,100.0,0.005228789405388437,49,70.2
RSF,3529,100.0,0.004993658796194932,53,3275.0
RUF,9958,2000.0,0.00043732969691408495,20,92.6
RVF,2308,100.0,0.004652800256738816,53,1930.0
RWF,3443,100.0,0.0065807311941128805,53,8600.0
SAF,1795,2000.0,-0.004975893504628874,53,176.0
SBF,1905,2000.0,-0.00010907032910203586,33,13.25
SCF,1477,100.0,0.004773901915215046,49,191.5
SDF,1513,2000.0,0.006441257608478004,44,167.0
SEF,2345,100.0,0.0061829785541999156,53,1905.0
SFF,2383,100.0,0.007665608516769552,53,5105.0
SJF,3005,2000.0,0.004622041153688336,53,117.0
SKF,8112,2000.0,-0.0012779912497731315,51,83.6
SLF,2376,100.0,-0.0058363339238937315,53,358.5
SVF,2059,100.0,0.008755928038555075,52,12460.0
SWF,9958,100.0,-0.0008777721923492059,45,92.6
SYF,3680,2000.0,0.0035499518473751835,50,545.0
SZF,3680,100.0,0.006294839718726191,53,546.0
UAF,1503,2000.0,-0.003888365280839629,42,194.5
UBF,6139,2000.0,0.0006567550433243498,53,758.0
UEF,5876,2000.0,-0.003733057811712864,34,48.6
UFF,6505,2000.0,0.004019220977381357,53,87.2
UGF,6526,2000.0,0.004140415080992044,53,844.0
UHF,3017,100.0,0.006104966552376953,53,3590.0
UIF,6526,100.0,0.00491528691805905,53,846.0
ULF,3324,100.0,0.003159551898161729,53,1717.0
UMF,3661,2000.0,0.008074652206891875,38,3795.0
UOF,3661,100.0,0.006886784136737242,53,3805.0
UQF,6472,100.0,0.0011363382454491412,52,424.5
UTF,2486,2000.0,0.002408964334196577,52,234.0
UWF,6223,100.0,0.006093729091808805,53,5460.0
UXF,2329,2000.0,6.996994818353893e-05,53,44.1
UYF,6290,2000.0,0.0001450410529499734,53,276.0
UZF,2404,100.0,0.0031395910797138876,53,1285.0
VBF,2367,2000.0,-0.0015667431949605544,53,41.5
VCF,2421,2000.0,0.0015345134501294467,53,167.5
VDF,2360,100.0,0.006482616894176137,53,2308.0
VEF,3665,2000.0,0.00506372826892837,53,2359.0
VFF,3665,100.0,0.0059300227516846295,53,2355.0
VGF,2368,100.0,0.007003871885785323,53,1112.0
VIF,2395,2000.0,0.005777263202678075,52,729.0
VJF,3211,100.0,-0.005560279830718501,53,376.5
VKF,6139,100.0,0.000788186310192465,53,765.0
VLF,8932,2000.0,0.003083737057030498,53,93.1
VMF,1519,2000.0,0.006734793020371937,52,705.0
VNF,1519,100.0,0.003682506624071079,52,703.0
VOF,2449,100.0,0.00337818046312828,53,314.0
VPF,3711,100.0,0.004321322897977617,53,700.0
KAF,6176,2000.0,0.00495239563232106,15,92.0
VQF,3718,2000.0,0.002098583011549991,49,66.1
