契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,0.0015241157246998996,53,218.0
CBF,2002,2000.0,0.0032168942465734896,53,19.05
CCF,2303,2000.0,0.0060002097718858715,53,125.0
CDF,2330,2000.0,0.002295598740671354,53,2390.0
CEF,2881,2000.0,0.0006495021995167458,53,146.5
CFF,1301,2000.0,0.0021461289156041227,53,65.4
CGF,2324,2000.0,-0.0008820705629477105,53,38.45
CHF,2409,2000.0,-0.004396918789189641,53,26.1
CJF,2880,2000.0,-0.0010151199561714457,52,43.35
CKF,2882,2000.0,-0.0004961421168417933,53,112.5
CLF,2886,2000.0,0.0015005131694876043,53,50.3
CMF,2887,2000.0,0.0015725489016914318,53,41.6
CNF,2891,2000.0,0.002491084212030077,53,67.3
CQF,1216,2000.0,0.0019918020927645556,53,75.9
CRF,1402,2000.0,0.0009819690821002928,53,28.85
CSF,1605,2000.0,0.0014457356721703878,53,37.35
CUF,2323,2000.0,0.0015164243482261993,51,10.9
CWF,2352,2000.0,0.003178255651634394,53,28.45
CXF,2371,2000.0,0.001181462311825227,53,27.5
CYF,2408,2000.0,-0.0005364845568144568,53,476.5
CZF,2603,2000.0,0.0025824988973189708,53,239.0
DAF,2609,2000.0,0.0032748089736315037,53,57.9
DBF,2610,2000.0,0.0037655280174476286,53,20.6
DCF,2801,2000.0,5.506438034849468e-06,53,26.75
DEF,2890,2000.0,-0.0022841405076787676,53,42.65
DFF,1101,2000.0,0.003586049379247321,53,24.55
DGF,1326,2000.0,0.0003400166404737166,53,68.8
DHF,2317,2000.0,0.002439709852460649,53,247.5
DIF,2337,2000.0,-0.00039206796762080435,53,117.0
DJF,2357,2000.0,0.0033923182338372075,53,971.0
DKF,2382,2000.0,0.001421935205851782,53,334.0
DLF,2412,2000.0,0.00041191062192975886,53,138.5
DNF,2884,2000.0,0.001673449236156218,53,43.3
DOF,2885,2000.0,0.0007935304554135102,53,68.7
DPF,2892,2000.0,-0.00043121367638850023,53,36.65
DQF,3481,2000.0,-0.005146494589003218,53,47.85
DSF,2353,2000.0,-0.002133603696154131,53,31.15
DVF,2454,2000.0,0.0012102966103257015,53,4330.0
DWF,2915,2000.0,0.0029433337129263445,53,57.0
DXF,3231,2000.0,0.0012771858091386265,53,188.0
DYF,1102,2000.0,-0.0003982100902869273,53,35.25
EEF,1312,2000.0,-0.0011378921108134024,53,14.6
EGF,1314,2000.0,0.0022090755014214625,53,8.15
EHF,1319,2000.0,0.0003242142880676922,53,81.1
EKF,1440,2000.0,0.0021836498145799917,53,14.25
EMF,1504,2000.0,-0.0008626863075699887,53,70.3
EOF,1560,2000.0,0.0018191154950622207,49,713.0
EPF,1590,2000.0,0.002963234582005195,53,1400.0
EYF,1718,2000.0,-0.0006205023662804408,53,10.65
EZF,1722,2000.0,0.0004571668892568309,52,44.75
FBF,2006,2000.0,-0.006693781951117657,36,82.6
FEF,2027,2000.0,0.0033382351013351214,53,50.5
FFF,2049,2000.0,-0.00035100950668435864,53,342.5
FGF,2059,2000.0,0.006779851954015122,52,13370.0
FKF,2105,2000.0,0.0025734621760876183,53,30.7
FNF,2201,2000.0,-0.005940806688153509,53,31.0
FQF,2301,2000.0,0.002462558582664527,53,298.0
FRF,2308,2000.0,0.0032732893685091624,53,1749.0
FSF,2312,2000.0,-0.0020870958369778652,53,31.2
FTF,2313,2000.0,0.0007731537028457095,53,234.0
FVF,2331,2000.0,4.130762039918891e-05,53,19.25
FWF,2332,2000.0,-0.0015428637102307004,53,18.6
FYF,2340,2000.0,-0.0012295598558353163,53,33.1
FZF,2344,2000.0,-0.0017059383594180825,53,168.0
GAF,2347,2000.0,0.002997794688210235,53,86.3
GCF,2354,2000.0,0.001582946747740814,53,63.6
GHF,2376,2000.0,-0.0035934300948089804,53,348.5
GIF,2377,2000.0,-0.0012282116035363918,53,148.5
GJF,2379,2000.0,-0.0019972719233312328,53,695.0
GKF,2385,2000.0,-0.006506074923515741,53,106.5
GLF,2392,2000.0,0.002864024809005729,53,45.4
GMF,2393,2000.0,0.005888197317488049,52,64.6
GNF,2401,2000.0,0.007425609763709559,53,24.65
GOF,2404,2000.0,0.000948666850906148,53,1038.0
GRF,2449,2000.0,0.0005336925381555239,53,259.0
GUF,2455,2000.0,0.0017683463392439446,53,528.0
GWF,2458,2000.0,-0.002577350954889766,47,131.0
GXF,2474,2000.0,0.002157303993627851,53,206.5
GYF,2481,2000.0,0.000714076320778639,53,154.0
GZF,2485,2000.0,0.0005435949023190732,53,40.7
HAF,2489,2000.0,0.0012383215833235606,53,39.9
HBF,2492,2000.0,-0.000869688795760104,53,269.0
HCF,2498,2000.0,-0.003210411361206928,53,41.4
HHF,2515,2000.0,9.221147982827378e-05,48,12.0
HIF,2520,2000.0,0.0031887869114923533,53,37.0
HLF,2542,2000.0,0.002368991228659929,53,48.65
HOF,2548,2000.0,-0.002981917091201827,44,94.1
HQF,2605,2000.0,-0.00018075217204548474,53,35.55
HSF,2618,2000.0,0.0007742396053806664,53,42.65
IAF,2834,2000.0,0.0037211763093025073,53,17.15
IHF,2913,2000.0,0.013464327752985165,50,11.1
IIF,3006,2000.0,0.0007372993374322127,53,276.5
IJF,3008,2000.0,0.005154350566381305,52,7120.0
IMF,3019,2000.0,-0.002858889021548579,53,142.0
IOF,3034,2000.0,0.0008881274079813432,53,523.0
IPF,3035,2000.0,0.001244539793199495,53,180.0
IQF,3036,2000.0,0.0028894429961609986,53,190.5
IRF,3037,2000.0,0.00397440631308864,53,922.0
ITF,3042,2000.0,0.0001426891189300983,53,171.0
IXF,3189,2000.0,0.003841576644023866,53,775.0
IYF,3376,2000.0,0.0008747869725884496,53,204.0
IZF,3380,2000.0,-0.0032016872228156487,53,28.85
JBF,3443,2000.0,0.0044568145814052685,50,5765.0
JFF,3533,2000.0,0.005278639116478501,52,1710.0
JMF,3653,2000.0,0.0038279638099144525,53,5565.0
JNF,3673,2000.0,0.00041895550736560725,53,64.8
JPF,3702,2000.0,0.0014754132618155376,53,102.5
JSF,4938,2000.0,8.205943128601544e-05,53,90.2
JWF,5534,2000.0,0.002525462536891024,16,77.2
JXF,6005,2000.0,0.0033525846130330723,28,32.5
JZF,6153,2000.0,-0.0004357348831321717,52,17.15
KBF,6213,2000.0,0.003809265440221396,53,505.0
KCF,6239,2000.0,0.002326937399742058,53,273.0
KDF,6271,2000.0,0.0008960799282993287,53,213.5
KEF,6278,2000.0,0.004233913976221673,53,188.0
KFF,6282,2000.0,-0.002011292538060507,53,43.0
KGF,6285,2000.0,0.0031253598617606696,53,231.5
KIF,8039,2000.0,0.002204420805837719,53,292.5
KKF,8163,2000.0,,7,31.15
KLF,9904,2000.0,0.004633772582662172,53,24.65
KOF,9939,2000.0,0.001730948353883917,22,132.0
KPF,9945,2000.0,0.0020636412274877276,53,28.4
KSF,1477,2000.0,0.00623072829390789,53,197.0
KUF,1802,2000.0,-0.005880620863160158,53,57.3
KWF,2328,2000.0,-0.001677553267711075,53,45.55
LBF,3044,2000.0,0.003863530106329669,53,487.0
LCF,3045,2000.0,-0.0007212078699496358,53,117.0
LEF,3406,2000.0,-0.005097786629486764,53,979.0
LIF,6269,2000.0,0.0006250882555885849,53,64.7
LMF,9914,2000.0,-0.001105573896698871,36,78.5
LOF,5880,2000.0,0.0004949881193893289,53,26.7
LQF,2356,2000.0,-0.0003750249240314127,53,64.5
LRF,2883,2000.0,0.0017324576461151065,53,35.95
LTF,4904,2000.0,0.003679776675694241,53,103.0
LUF,4958,2000.0,-0.003863327500979053,53,459.5
LVF,5871,2000.0,0.0028620129412286334,53,112.0
LWF,1476,2000.0,0.0003702081764717689,13,313.5
LXF,2327,2000.0,0.0010735888460397891,53,511.0
LYF,8046,2000.0,-0.0013710282277202372,53,1079.0
MBF,2355,2000.0,0.00015450201364261614,53,41.85
MJF,2360,2000.0,0.004261430442449283,53,2072.0
MKF,2439,2000.0,0.003126650334198254,53,78.1
MQF,6257,2000.0,-0.0017370459534716454,53,205.0
NAF,3105,2000.0,0.0014467871828559742,53,439.5
NCF,3211,2000.0,0.00025572178634735424,53,370.0
NDF,3260,2000.0,-0.0037605191301294584,53,394.0
NEF,3264,2000.0,0.0005444976024076218,53,222.0
NGF,3691,2000.0,0.004643556002966756,48,97.5
NIF,4123,2000.0,-0.003121727266354742,45,30.45
NJF,5009,2000.0,0.004589595966612095,51,33.55
NLF,5347,2000.0,-0.0015113467447646623,53,145.0
NOF,5483,2000.0,-0.0008396882076502229,53,173.5
NSF,6147,2000.0,0.0023366948155018135,53,186.0
NVF,8069,2000.0,0.001428146522789756,53,146.0
NWF,8299,2000.0,-0.00040161374528901165,53,1985.0
ODF,2231,2000.0,-0.0007655676054712549,30,90.5
OEF,6116,2000.0,-0.009038176515696536,53,13.65
OHF,6279,2000.0,7.183359296818207e-05,53,118.0
OLF,3008,100.0,0.0029874736675567534,53,7130.0
OMF,1565,100.0,,5,99.2
OPF,2345,2000.0,0.0061566854607902856,53,2103.0
OQF,6414,2000.0,0.0027755502521959515,53,385.5
ORF,1536,2000.0,-0.0008888563701912244,50,49.3
OSF,1909,2000.0,0.004290981969400599,53,11.2
OTF,3081,2000.0,0.005667540718273932,53,3115.0
OVF,6274,2000.0,0.005268547754620158,53,1337.0
OWF,6488,2000.0,-0.0014908718383585865,53,914.0
OXF,6510,2000.0,0.012065601099900373,53,3345.0
OYF,6510,100.0,0.002404987532163043,53,3320.0
OZF,3711,2000.0,0.0023681587988746296,53,588.0
PAF,3227,2000.0,0.0015716692631253823,41,191.0
PBF,6488,100.0,-0.0017586347061833382,53,913.0
PCF,4162,2000.0,-0.002825349188050094,48,57.8
PEF,5425,2000.0,-0.006862140191770384,53,89.7
PGF,2633,2000.0,,9,26.25
PHF,5269,2000.0,-0.007222907351238244,49,1443.0
PIF,3529,2000.0,-0.0021148991212945343,53,2323.0
PJF,2383,2000.0,0.002148608244048921,53,5335.0
PKF,6173,2000.0,-0.005776306347180503,53,234.5
PLF,6182,2000.0,-0.0011377949418528077,53,103.0
PMF,8436,2000.0,0.004364364372757376,53,113.0
PNF,5269,100.0,-0.0038217321480277277,53,1431.0
PPF,5457,2000.0,,2,27.6
PQF,8358,2000.0,-0.0018316982419929037,53,464.0
PRF,8086,2000.0,0.0018866659385335372,53,110.5
PSF,3706,2000.0,-0.0022223667203346933,53,90.2
PTF,3324,2000.0,0.003078410421843775,53,1325.0
PUF,2454,100.0,0.0004957578035481056,53,4335.0
PVF,6669,2000.0,-0.023429936086418558,53,2425.0
PWF,6669,100.0,-0.022667367779128353,53,2432.0
PXF,3293,2000.0,0.0019321767120449166,47,708.0
PYF,3293,100.0,0.003049549055283293,53,707.0
QAF,5274,100.0,0.001602154218669877,53,17855.0
QBF,3714,2000.0,-4.693666327316652e-05,53,60.9
QCF,2606,2000.0,0.003620171610754842,53,77.9
QDF,3532,2000.0,-0.0065301979539944665,53,373.5
QEF,2327,100.0,0.001218376860599203,53,509.0
QFF,2330,100.0,0.0021772465220760246,53,2390.0
QGF,2379,100.0,-0.0023921875283891025,53,707.0
QHF,3034,100.0,0.0010264121630411526,53,520.0
QIF,3105,100.0,0.001418678589941443,53,441.0
QJF,3406,100.0,-0.004162793692126884,53,976.0
QKF,1907,2000.0,0.009160886947377616,52,30.3
QLF,3374,2000.0,-0.0023133064565457303,53,394.0
QMF,2049,100.0,0.0007042473330968337,53,339.5
QNF,8299,100.0,-0.0003788928789948849,53,1992.0
QOF,1717,2000.0,-0.0006355583907404592,53,75.8
QPF,1904,2000.0,0.004614339283658045,52,25.2
QQF,3078,2000.0,-0.011811917714372325,40,45.85
QRF,2357,100.0,0.0020161281003223297,53,958.0
QSF,8046,100.0,-0.0012504404987572592,53,1079.0
QTF,2441,2000.0,0.002044163001753172,53,112.0
QUF,8150,2000.0,0.0006037335162199394,53,88.0
QVF,2338,2000.0,-0.0026995083356898086,53,38.5
QWF,2388,2000.0,-0.0018440692228325695,53,74.8
QXF,2615,2000.0,0.0020502347754217517,53,116.0
QYF,6547,2000.0,0.0016124851711959176,52,62.0
QZF,6770,2000.0,0.0010815907427044506,53,67.2
RAF,3017,2000.0,0.0016283545007312883,53,3305.0
RBF,5388,2000.0,0.0008878067717806497,49,75.2
RCF,2634,2000.0,-0.001961629037192197,53,63.5
RDF,4128,2000.0,0.007590103189230364,52,14.85
REF,4919,2000.0,0.0038888766071015664,53,114.0
RFF,3533,100.0,0.002903603356766879,53,1668.0
RGF,3653,100.0,0.004372136909045246,53,5595.0
RJF,1609,2000.0,0.0009767436448065098,51,37.35
RKF,2368,2000.0,0.00553052567701817,53,1094.0
RLF,6443,2000.0,0.006290746651225098,53,24.65
RNF,4743,2000.0,-0.009850514923916323,42,44.8
RPF,5904,2000.0,0.0020172016971136643,37,71.0
RRF,5904,100.0,0.0025484392240107414,50,70.6
RSF,3529,100.0,0.00048122469325424984,53,2316.0
RUF,9958,2000.0,-0.005278235004483693,51,88.3
RVF,2308,100.0,0.0031321474973630995,53,1748.0
RWF,3443,100.0,0.003210944233604188,53,5775.0
SAF,1795,2000.0,5.760965346074084e-05,53,182.0
SBF,1905,2000.0,0.0018173656236891071,52,13.75
SCF,1477,100.0,0.004008552109597215,51,195.5
SDF,1513,2000.0,-0.0012073197060966845,53,161.5
SEF,2345,100.0,0.00424419899792367,53,2081.0
SFF,2383,100.0,0.0031941506324421327,53,5285.0
SJF,3005,2000.0,0.0024650177000334517,53,112.5
SKF,8112,2000.0,0.003515577878040629,53,89.2
SLF,2376,100.0,-0.00327824953111694,53,345.5
SVF,2059,100.0,0.0056716990204482825,53,13460.0
SWF,9958,100.0,-0.0023135145482109654,44,88.4
SYF,3680,2000.0,0.0071580522293805135,50,511.0
SZF,3680,100.0,0.002344349074641346,53,506.0
UAF,1503,2000.0,0.0015005862310832703,52,200.0
UBF,6139,2000.0,0.006122467369423051,52,712.0
UCF,6188,2000.0,0.017283022691811607,53,68.0
UFF,6505,2000.0,0.0020200693867374487,53,76.0
UGF,6526,2000.0,0.007674761881575011,52,647.0
UHF,3017,100.0,0.0013722044440786204,53,3300.0
UIF,6526,100.0,0.0024487471902265917,53,630.0
ULF,3324,100.0,0.0018792550783554374,53,1330.0
UMF,3661,2000.0,0.0018776324783660984,53,4080.0
UOF,3661,100.0,0.003048709725828062,53,4040.0
UPF,6472,2000.0,0.014763527852419078,50,423.5
UQF,6472,100.0,0.0021996471434077916,53,413.5
UTF,2486,2000.0,0.002807286671330378,53,260.5
UVF,6223,2000.0,0.0022781504872106274,46,5215.0
UWF,6223,100.0,0.006328468638994389,53,5050.0
UXF,2329,2000.0,0.0020786939590872484,45,42.6
UYF,6290,2000.0,0.002078848823489593,51,243.0
UZF,2404,100.0,0.0025063521586787293,53,1032.0
VAF,1608,2000.0,0.0065404000112670255,49,36.5
VBF,2367,2000.0,-0.0025770258245133276,53,41.5
VCF,2421,2000.0,0.0011886832411981008,53,164.0
VDF,2360,100.0,0.002938961976305419,53,2015.0
VEF,3665,2000.0,0.0006225333909473848,51,2105.0
VFF,3665,100.0,0.004672209479041866,53,2098.0
VGF,2368,100.0,0.004723956328942179,53,1094.0
VIF,2395,2000.0,0.00314281285137105,53,672.0
VJF,3211,100.0,0.0009677182204018551,53,371.0
VKF,6139,100.0,0.003834196961409025,53,716.0
VLF,8932,2000.0,0.005567896749130481,49,90.8
VMF,1519,2000.0,0.005409685198696941,48,720.0
VNF,1519,100.0,0.0038816407894436914,53,715.0
VOF,2449,100.0,0.0007090099038565268,53,259.0
VPF,3711,100.0,0.001954200080582895,53,589.0
KAF,6176,2000.0,0.0025800095814828925,52,90.1
VQF,3718,2000.0,-0.0061046821058238585,52,77.2
