契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,0.0011294512399398881,53,245.0
CBF,2002,2000.0,0.00029790784390791504,53,19.05
CCF,2303,2000.0,0.00013888863823788237,53,142.5
CDF,2330,2000.0,0.0021538987109433316,53,2448.0
CEF,2881,2000.0,-0.0008239342052547325,53,148.5
CFF,1301,2000.0,0.00025960709547634826,53,65.7
CGF,2324,2000.0,0.0003912956817865068,53,38.8
CHF,2409,2000.0,0.0017393672389338917,53,31.3
CJF,2880,2000.0,-0.0003348360765511028,53,44.4
CKF,2882,2000.0,0.001122737357210464,53,111.0
CLF,2886,2000.0,0.002127644097950785,53,49.9
CMF,2887,2000.0,-0.0005629606953382096,53,42.15
CNF,2891,2000.0,8.737615166499672e-05,53,67.3
CQF,1216,2000.0,0.0010013453168987237,53,75.5
CRF,1402,2000.0,0.00208750445932945,53,28.6
CSF,1605,2000.0,0.000596460664591208,53,37.8
CUF,2323,2000.0,0.001277977086839711,48,10.6
CWF,2352,2000.0,0.0009795216158079141,53,28.9
CXF,2371,2000.0,-0.0007489011156870877,53,27.8
CYF,2408,2000.0,0.0026790128889327067,53,516.0
CZF,2603,2000.0,0.0018831681576767848,53,231.5
DAF,2609,2000.0,-0.00013297357921941515,53,57.9
DBF,2610,2000.0,1.8371247113443171e-06,53,20.3
DCF,2801,2000.0,0.0008163928732357187,53,26.65
DEF,2890,2000.0,0.0015693910084858416,53,43.35
DFF,1101,2000.0,0.0007221540026682074,53,24.7
DGF,1326,2000.0,0.00029248356575454446,53,71.3
DHF,2317,2000.0,0.0004887586143043202,53,251.5
DIF,2337,2000.0,0.00016017459913087733,53,123.0
DJF,2357,2000.0,0.0015730051960831555,53,997.0
DKF,2382,2000.0,0.001213626088155063,53,336.0
DLF,2412,2000.0,-0.0013522961302291233,53,139.5
DNF,2884,2000.0,0.0006103591936848307,53,45.05
DOF,2885,2000.0,0.0008402242404600476,53,69.5
DPF,2892,2000.0,0.0011256507594414585,53,38.2
DQF,3481,2000.0,-0.0012081127179667229,53,49.3
DSF,2353,2000.0,-0.0026381937061863885,53,31.3
DVF,2454,2000.0,0.0010125295109869802,53,4735.0
DWF,2915,2000.0,0.007202262738972166,52,57.3
DXF,3231,2000.0,0.0011645780619465233,53,184.5
DYF,1102,2000.0,-0.0002928392246982303,53,35.35
EEF,1312,2000.0,0.0007498273796692212,53,14.95
EGF,1314,2000.0,0.0019559069294603137,53,8.18
EHF,1319,2000.0,-0.0004250755460120082,51,78.9
EKF,1440,2000.0,0.005356124800752397,52,13.5
EMF,1504,2000.0,-0.003238797490011507,53,71.6
EOF,1560,2000.0,,7,732.0
EPF,1590,2000.0,0.0042579095496627405,53,1291.0
EYF,1718,2000.0,0.0010708776980547245,53,10.6
EZF,1722,2000.0,0.001699633506115503,45,44.05
FEF,2027,2000.0,0.0003545773667255771,53,48.1
FFF,2049,2000.0,-0.0008357224153236863,53,360.5
FGF,2059,2000.0,0.004663176883062018,52,12525.0
FKF,2105,2000.0,0.00018634400887960746,53,30.65
FNF,2201,2000.0,-0.004265656470313355,52,30.15
FQF,2301,2000.0,0.0007865629240079876,53,292.0
FRF,2308,2000.0,-0.0014734794293871744,53,1683.0
FSF,2312,2000.0,0.0007714457845680695,52,31.45
FTF,2313,2000.0,0.0017201052935282154,53,225.0
FVF,2331,2000.0,0.0039232444911841595,48,18.85
FWF,2332,2000.0,0.0010651652276891044,50,18.9
FYF,2340,2000.0,-0.0014507766983223095,53,31.7
FZF,2344,2000.0,0.0008883840375598932,53,180.0
GAF,2347,2000.0,-0.0021680345398327216,52,88.1
GCF,2354,2000.0,-0.00032092296232662845,53,65.0
GHF,2376,2000.0,-0.0016961182504988096,53,351.0
GIF,2377,2000.0,-0.0029219014044566927,53,148.0
GJF,2379,2000.0,0.0024349457621257006,52,696.0
GKF,2385,2000.0,-0.001448715464063075,53,105.0
GLF,2392,2000.0,0.0017156321494648048,53,43.6
GMF,2393,2000.0,0.007093572858754145,52,62.3
GNF,2401,2000.0,0.00019548678605757272,52,24.85
GOF,2404,2000.0,-0.0026317918209693143,53,1055.0
GRF,2449,2000.0,-0.0010387929185414861,53,272.0
GUF,2455,2000.0,0.0024886837739927976,53,532.0
GVF,2457,2000.0,0.0008958311566153762,45,22.5
GWF,2458,2000.0,-0.0013174651466444764,53,128.5
GXF,2474,2000.0,0.002171927958340243,53,205.0
GYF,2481,2000.0,-0.004036836515212546,53,154.5
GZF,2485,2000.0,-0.003297576117660912,51,39.6
HAF,2489,2000.0,-0.001141525689930163,53,38.7
HBF,2492,2000.0,0.0012024273045837949,53,334.0
HCF,2498,2000.0,-0.006145583121316028,53,39.9
HHF,2515,2000.0,0.004346205553289366,50,12.05
HIF,2520,2000.0,0.0007469834663271235,53,36.95
HLF,2542,2000.0,-0.003479396262722513,53,46.25
HQF,2605,2000.0,0.0009393457988989723,53,36.25
HSF,2618,2000.0,-4.428096095137644e-05,53,41.7
IAF,2834,2000.0,0.0027516969763181336,53,17.9
IHF,2913,2000.0,0.0007940747071182115,46,11.05
