契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,7.8573787480409e-05,53,233.0
CBF,2002,2000.0,0.0013361902228777175,53,19.05
CCF,2303,2000.0,0.0023319312998327057,53,136.0
CDF,2330,2000.0,0.0009068166537804595,53,2471.0
CEF,2881,2000.0,0.0004476475768270826,53,149.0
CFF,1301,2000.0,0.0015590352298071556,53,64.8
CGF,2324,2000.0,-0.00024211494026673845,53,38.85
CHF,2409,2000.0,0.0006246553681322429,53,29.55
CJF,2880,2000.0,0.0006810518158160093,48,44.9
CKF,2882,2000.0,0.001829031967203864,53,113.0
CLF,2886,2000.0,0.0029593359043014055,49,50.5
CMF,2887,2000.0,-0.0010129828623908566,53,42.75
CNF,2891,2000.0,-2.4882392618146246e-05,53,67.9
CQF,1216,2000.0,0.0022729123765283968,52,76.8
CRF,1402,2000.0,0.003470141545239609,53,28.75
CSF,1605,2000.0,0.002167100836670069,53,38.1
CUF,2323,2000.0,0.01166302801137615,52,10.7
CWF,2352,2000.0,0.0007563085813293296,53,28.85
CXF,2371,2000.0,0.0017548838863866063,53,27.9
CYF,2408,2000.0,0.002369088053496987,53,530.0
CZF,2603,2000.0,-0.00020375419531640815,53,229.0
DAF,2609,2000.0,0.0019381993400279973,53,57.3
DBF,2610,2000.0,0.0016048790826153824,53,20.6
DCF,2801,2000.0,0.0030615619165198504,53,27.3
DEF,2890,2000.0,-0.0008074403607471406,52,43.55
DFF,1101,2000.0,0.0035740453373281134,53,24.35
DGF,1326,2000.0,-8.081997233338708e-05,53,70.5
DHF,2317,2000.0,-0.0011245819217622292,53,251.5
DIF,2337,2000.0,0.0022293365484358147,53,127.0
DJF,2357,2000.0,0.000588495933644157,53,963.0
DKF,2382,2000.0,0.0005719651085966069,53,329.0
DLF,2412,2000.0,-6.268025372142172e-05,53,138.5
DNF,2884,2000.0,0.00026486222611785386,53,45.35
DOF,2885,2000.0,-0.0016098522394789238,53,70.3
DPF,2892,2000.0,0.00012901376589241755,41,37.8
DQF,3481,2000.0,-0.0033164271820655933,53,48.7
DSF,2353,2000.0,-0.003287106986947829,53,30.85
DVF,2454,2000.0,-0.0001563535206835875,53,4685.0
DWF,2915,2000.0,0.0009635473696055125,53,57.6
DXF,3231,2000.0,0.0028376548626121096,53,186.0
DYF,1102,2000.0,0.0028774607709179004,53,35.15
EEF,1312,2000.0,-0.003725575336050352,53,13.8
EGF,1314,2000.0,0.0030318486432932357,53,8.15
EHF,1319,2000.0,-0.004555871297850409,53,78.8
EKF,1440,2000.0,0.001446566066631491,53,13.75
EMF,1504,2000.0,-0.004604814685211667,53,70.0
EOF,1560,2000.0,0.0030836559525821657,48,727.0
EPF,1590,2000.0,,5,1323.0
EYF,1718,2000.0,-0.0015464591551985238,53,10.25
FEF,2027,2000.0,0.0023712172948385205,53,49.5
FFF,2049,2000.0,-2.5434513950292458e-05,53,356.0
FGF,2059,2000.0,0.00699809249079041,48,12600.0
FKF,2105,2000.0,0.004562140785175912,53,30.75
FNF,2201,2000.0,-0.006400986893288903,53,30.2
FQF,2301,2000.0,0.00229930645854521,53,291.5
FRF,2308,2000.0,0.0010963950548109425,53,1803.0
FSF,2312,2000.0,3.0091087895219837e-05,53,31.3
FTF,2313,2000.0,0.0029863141029252273,53,232.0
FVF,2331,2000.0,6.619821207804251e-05,49,19.1
FWF,2332,2000.0,-0.0024717535036831223,53,18.85
FYF,2340,2000.0,0.0011310780409610724,53,32.35
FZF,2344,2000.0,0.00314833973364703,53,186.5
GAF,2347,2000.0,-1.8110319319727796e-05,53,88.6
GCF,2354,2000.0,-0.0008372034057020026,53,64.3
GHF,2376,2000.0,-0.008266783381756744,53,354.0
GIF,2377,2000.0,-0.0030721667630652576,53,152.0
GJF,2379,2000.0,0.0005445754003754612,53,690.0
GKF,2385,2000.0,-0.003113895746785449,53,105.0
GLF,2392,2000.0,-0.0021900184269509986,53,42.6
GMF,2393,2000.0,0.0018445773524488236,32,62.6
GNF,2401,2000.0,-0.0011982554956682034,50,24.85
GOF,2404,2000.0,0.0006107924718353197,36,1058.0
GRF,2449,2000.0,-0.0004837549537445098,53,269.0
GUF,2455,2000.0,0.006086874985027793,53,516.0
GWF,2458,2000.0,-0.00393985225403255,53,130.0
GXF,2474,2000.0,-0.0007871989860064865,53,205.0
GYF,2481,2000.0,-0.002812797748514458,53,153.0
GZF,2485,2000.0,0.0019381691154483477,52,40.2
HAF,2489,2000.0,-0.000523072452674316,53,38.65
HBF,2492,2000.0,0.00042336227594530067,53,316.5
HCF,2498,2000.0,-0.005901672946682231,53,39.95
HHF,2515,2000.0,0.002857434432084876,41,12.0
HIF,2520,2000.0,-0.0021487196204056035,53,36.5
HLF,2542,2000.0,0.00027790712395454653,53,47.8
HQF,2605,2000.0,0.003225184569656215,53,36.8
HSF,2618,2000.0,-0.0016761447736869425,53,42.05
IAF,2834,2000.0,0.0015101316121463623,53,17.8
IHF,2913,2000.0,0.0014001979755404652,52,11.05
IIF,3006,2000.0,0.0021981856977140355,53,299.0
IJF,3008,2000.0,0.007271143578918166,53,6530.0
IMF,3019,2000.0,-0.004157833701430782,53,138.5
IOF,3034,2000.0,-0.0017715771763743152,51,532.0
IPF,3035,2000.0,0.00046910373875980914,53,174.5
IQF,3036,2000.0,0.00030001295183411305,53,188.0
IRF,3037,2000.0,0.00011759757015828505,53,954.0
ITF,3042,2000.0,0.0014599562181005128,53,172.0
IXF,3189,2000.0,0.0021380018388614513,53,801.0
IYF,3376,2000.0,0.0017928299472146148,53,205.0
IZF,3380,2000.0,-0.0013238725981199804,52,30.0
JBF,3443,2000.0,0.0011699545265913725,53,5940.0
JFF,3533,2000.0,0.0008268440101059167,15,1625.0
JMF,3653,2000.0,0.0065060758964470425,53,5560.0
JNF,3673,2000.0,-0.0028045596696595824,53,63.9
JPF,3702,2000.0,0.0005485908868750616,53,104.0
JSF,4938,2000.0,-0.0014065445683858206,53,91.3
JWF,5534,2000.0,,8,75.8
JXF,6005,2000.0,-0.0016270499191350504,47,32.75
JZF,6153,2000.0,0.00149436715154801,52,17.25
KBF,6213,2000.0,0.0009646365757281809,53,511.0
KCF,6239,2000.0,-0.0008827455947879424,53,274.5
KDF,6271,2000.0,-3.440447763692418e-05,53,223.5
KEF,6278,2000.0,0.00044938048372582907,53,188.0
KFF,6282,2000.0,-0.002339453218518927,53,43.1
KGF,6285,2000.0,0.0009443693008014314,53,235.5
