契約代碼,sid,契約乘數,日均溢價,有效格數,期貨收盤
CAF,1303,2000.0,0.0027604111922208087,53,238.5
CBF,2002,2000.0,0.004285617239183867,53,18.8
CCF,2303,2000.0,0.004549839968210859,53,148.0
CDF,2330,2000.0,0.00420513447750489,53,2433.0
CEF,2881,2000.0,0.00314960401079854,53,152.5
CFF,1301,2000.0,0.0049411326434811555,53,65.3
CGF,2324,2000.0,7.733549450496546e-05,53,37.5
CHF,2409,2000.0,-0.0008518920979789727,53,30.0
CJF,2880,2000.0,0.001731517142901704,52,48.05
CKF,2882,2000.0,0.004107633264772261,53,113.0
CLF,2886,2000.0,0.004414380538848956,53,52.2
CMF,2887,2000.0,0.004701138419320189,53,44.35
CNF,2891,2000.0,0.0005082979799441628,53,71.2
CQF,1216,2000.0,0.005095230777013009,49,75.8
CRF,1402,2000.0,0.004089198189391075,53,28.1
CSF,1605,2000.0,0.005221749648717018,53,37.2
CUF,2323,2000.0,0.0012308220755561168,38,10.85
CWF,2352,2000.0,0.004978363087029677,53,29.05
CXF,2371,2000.0,0.0017407045518632236,53,29.9
CYF,2408,2000.0,0.0027586251373139673,53,492.5
CZF,2603,2000.0,0.004588421603785546,53,242.5
DAF,2609,2000.0,0.004994882120464085,53,62.6
DBF,2610,2000.0,0.0038665822057331843,53,20.45
DCF,2801,2000.0,0.005555534848766894,53,29.8
DEF,2890,2000.0,0.002042953089376273,53,46.25
DFF,1101,2000.0,0.005543583438001798,53,24.65
DGF,1326,2000.0,0.0051886384692016565,53,69.2
DHF,2317,2000.0,0.004567329316512764,53,251.0
DIF,2337,2000.0,0.004438486690445937,53,117.0
DJF,2357,2000.0,0.004351152238863518,53,949.0
DKF,2382,2000.0,0.004354091641345014,53,344.5
DLF,2412,2000.0,0.0036760760796912496,52,145.5
DNF,2884,2000.0,0.002242059697340622,53,47.3
DOF,2885,2000.0,0.004883218136240875,53,69.5
DPF,2892,2000.0,0.003633084301450873,52,40.95
DQF,3481,2000.0,2.274674102396348e-05,53,48.7
DSF,2353,2000.0,-0.001574129829195388,53,32.3
DVF,2454,2000.0,0.0034024511686252157,53,4540.0
DWF,2915,2000.0,0.004488734370005166,46,59.0
DXF,3231,2000.0,0.005346831919868865,53,187.5
DYF,1102,2000.0,0.00293526316738028,53,35.4
DZF,1210,2000.0,-0.0014107630121522924,49,52.0
EEF,1312,2000.0,0.005963405785322976,53,15.15
EGF,1314,2000.0,0.008972272117175419,53,9.05
EHF,1319,2000.0,0.0058018372171157575,50,80.5
EKF,1440,2000.0,0.003880497619718254,51,13.6
EMF,1504,2000.0,0.002224569775222265,53,71.0
EOF,1560,2000.0,-0.0007660350331394805,50,820.0
EPF,1590,2000.0,0.00467536813922359,48,1255.0
EYF,1718,2000.0,0.007330577702008951,53,10.95
